@relation INTERRUPT
@attribute meanAcc numeric
@attribute varAcc numeric
@attribute MCRAcc numeric
@attribute interruptibility {'yes','no'}

@data
9.900927109912, 0.000773192383, 0.335639554506, yes
9.915152735879, 0.000753343153, 0.335365853659, no
9.910046086862, 0.00072570947, 0.348153214774, no
9.90558611869, 0.000736362119, 0.345609065156, no
9.908183394538, 0.00075155721, 0.327819041188, no
9.904657558895, 0.000716887546, 0.353598014888, no
9.90610931509, 0.000747777415, 0.33667743581, no
9.902272946101, 0.000725932093, 0.343941456773, no
9.903372853806, 0.000740257675, 0.335647756139, no
9.901656319347, 0.000738561569, 0.345749420781, no
9.904133167487, 0.000702630644, 0.350250178699, no
9.906602028349, 0.000704008604, 0.327610872675, no
9.905223855882, 0.000705453597, 0.341299345017, no
9.901153188188, 0.000721799749, 0.345007183908, no
9.889561283007, 0.000726419115, 0.339629005059, no
10.574638791337, 22.937526861, 0.127978670222, no
9.945577236209, 0.000727299619, 0.337723254555, no
9.906737678746, 0.000722057561, 0.338531187123, yes
9.903301007481, 0.000731471331, 0.338339222615, no
10.435298605648, 15.029742129987, 0.116820829051, yes
9.889565909327, 0.000738666126, 0.321073055509, no
9.893474212229, 0.000710962761, 0.342029507017, no
9.89108600828, 0.000744554717, 0.331725616292, no
9.897113633988, 0.000745043753, 0.346209386282, no
9.894971830946, 0.000713122583, 0.347129746266, no
9.912266234984, 0.000759714424, 0.3468765871, no
9.909940445623, 0.000743627054, 0.340181879421, no
9.916884606958, 0.000756171055, 0.345053003534, yes
9.915438329405, 0.000761422104, 0.344401151957, no
9.894884310145, 0.01181962646, 0.275808671714, yes
10.307682311909, 18.623367453552, 0.118518518519, no
9.910059073245, 0.00071703905, 0.327322218442, no
9.911550805597, 0.000717044375, 0.327863305701, no
9.904052220617, 0.000732060767, 0.358208955224, yes
9.911567079645, 0.000726473966, 0.324168363883, yes
9.901636014584, 0.147677577439, 0.27677029361, yes
9.905818174747, 0.000725967207, 0.331005110733, no
9.905982377119, 0.000716903633, 0.335985104942, no
9.906292444444, 0.000752748687, 0.325358851675, yes
9.909129858565, 0.00072953295, 0.333898880217, yes
9.901748731642, 0.000717284587, 0.347199204508, no
9.922527809667, 0.000742007844, 0.330501274427, no
9.985742116863, 0.013492852469, 0.220691916708, no
9.924003316911, 0.000746722539, 0.33607636603, no
9.990716583535, 0.070523921038, 0.198892065761, yes
9.921380432077, 0.000746278653, 0.337821915502, no
9.888448059686, 0.024392709484, 0.316792738275, yes
9.915020027572, 0.000732293931, 0.335134222522, no
9.924176058297, 0.00072893811, 0.325105663567, no
9.901512844914, 0.000739568394, 0.337153609306, no
9.90217698971, 0.000729266618, 0.345628415301, no
9.908182144669, 0.000767447134, 0.33576394777, no
9.907142507401, 0.081154510873, 0.25787965616, no
9.902300639491, 0.000738596797, 0.340364495444, yes
9.910055742995, 0.000782745791, 0.324784910655, no
9.928810892089, 0.00073620257, 0.334125636672, no
9.929051647559, 0.000773366996, 0.324966078697, no
9.930794419965, 0.000737391477, 0.323390630266, no
9.937281911439, 0.000758223023, 0.332489878543, no
9.935767349139, 0.000728203444, 0.346452523826, yes
9.999012683725, 0.000743094517, 0.346529380437, no
9.928894233541, 0.000702026501, 0.347354138399, no
9.927945801449, 0.009311607132, 0.313024504867, no
9.935429448884, 0.000862640789, 0.33316387053, yes
9.920988880112, 0.000748495298, 0.345939132001, no
9.92370157912, 0.000756772598, 0.344908968307, yes
9.919405345015, 0.000768444923, 0.334412265758, no
9.934193898858, 0.000762534041, 0.327244793445, no
9.949368118138, 0.000769612889, 0.327982878545, no
9.917790979846, 0.00088261166, 0.338066260987, no
9.938907219903, 0.00073845822, 0.334327310998, no
9.925855288519, 0.000753556408, 0.326695916301, no
9.952940430364, 0.000998279318, 0.327370005016, no
9.922819419439, 0.041182718904, 0.342148760331, no
9.921253019662, 0.00074359205, 0.350008421762, no
9.914331287744, 0.000869106666, 0.341221247725, no
9.912700181807, 0.000723588599, 0.333445831927, yes
9.934578206464, 0.000813259597, 0.335638387586, no
9.963925792981, 0.000899782871, 0.403245942572, no
9.916607909805, 0.000724494736, 0.341870261163, no
9.936208322537, 0.000772355288, 0.338332440636, yes
9.929100698971, 0.000748224616, 0.334681496461, no
9.939936693394, 0.000742235993, 0.33875063484, no
9.998552603783, 0.749782272675, 0.18201449946, no
9.929111047664, 0.000759386216, 0.331303489138, no
9.962060911644, 0.146298411217, 0.212075698408, no
9.935497405068, 0.000753310412, 0.326465124134, no
9.933647706947, 0.000758960986, 0.313162393162, no
9.932149827942, 0.000768403674, 0.318828165153, no
9.686859651527, 0.02063092555, 0.229442508711, no
9.939384808752, 0.000720633888, 0.339692723282, no
9.709684835823, 0.008946052322, 0.277825563392, no
9.917572414834, 0.00074789255, 0.330388992696, no
9.919441371684, 0.000771394638, 0.337913486005, no
9.90415516828, 0.000750847633, 0.336819329246, no
9.903987424185, 0.000748691628, 0.345074199893, no
9.918228614862, 0.000728928121, 0.34781121751, no
9.916736251337, 0.000776881448, 0.326634014525, no
9.918162753326, 0.000721261524, 0.349501436539, no
9.91495968366, 0.000743889327, 0.330172705723, no
