@relation ANY_NAME
@attribute meanAcc numeric
@attribute varAcc numeric
@attribute MCRAcc numeric
@attribute interruptibility {'yes','no'}

@data

9.77783332017, 0.202476572689, 0.573174760489, yes
9.74888561986, 0.00100022094555, 0.496522027161, yes
9.7529636503, 0.0216467778618, 0.483609271523, no
9.73672050493, 0.00883849036543, 0.477611940299, no
9.73588144279, 0.00102427220347, 0.505379903989, yes
9.72442577497, 0.00107651835126, 0.499751943112, yes
9.72807369957, 0.000984932055597, 0.492300049677, no
9.72999015667, 0.000991334895491, 0.505052178234, no
10.6393254068, 9.95266342929, 0.0782049166804, no
9.70662587147, 0.0010108218253, 0.494391290003, yes
